Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
64,"(128, 64)",blackwhite/full_image,0.50432,84.76562833786011,0.0005195442199707031,0.4976,0.7050
64,"(128, 64)",grayscale/string_image,0.50432,91.00406622886658,0.0005673292922973633,0.5088,0.7046
128,"(128, 128)",blackwhite/string_image,0.508,138.98733019828796,0.0007028009796142578,0.5000,0.7251
128,"(128, 128)",color/string_image/not_smooth,0.508,147.45636749267578,0.0006527485275268555,0.5086,0.6992
128,"(128, 128)",color/string_image/smooth,0.50432,177.39327335357666,0.0006025856018066406,0.5120,0.7158
128,"(128, 128)",color/full_image/not_smooth,0.508,180.81779742240906,0.0005642124938964844,0.5206,0.7089
128,"(128, 128)",color/full_image/smooth,0.508,103.9587082862854,0.0004553628158569336,0.5224,0.6989
128,"(128, 128)",color/string_image/smooth,0.50432,119.4060788154602,0.0005061154556274414,0.5034,0.7225
128,"(128, 128)",grayscale/full_image,0.50432,112.38946747779846,0.0004976820755004883,0.5059,0.7262
128,"(128, 128)",blackwhite/full_image,0.50432,102.07210326194763,0.0005435932159423828,0.4997,0.7209
128,"(128, 128)",grayscale/string_image,0.50432,121.64216542243958,0.0005217304229736328,0.5032,0.7297
128,"(64, 64)",blackwhite/string_image,0.508,105.04081463813782,0.0005478091049194336,0.5078,0.7233
128,"(64, 64)",color/string_image/not_smooth,0.508,105.79545378684998,0.0005617158126831054,0.5232,0.6976
128,"(64, 64)",color/string_image/smooth,0.50432,122.8193347454071,0.0005528488540649414,0.5024,0.7057
128,"(64, 64)",color/full_image/not_smooth,0.508,106.2785861492157,0.0005586185455322266,0.5122,0.7047
128,"(64, 64)",color/full_image/smooth,0.508,114.25294017791748,0.000565455322265625,0.5035,0.7091
128,"(64, 64)",color/string_image/smooth,0.50432,122.17192363739014,0.0005415628051757813,0.5150,0.7039
128,"(64, 64)",grayscale/full_image,0.50432,125.55064177513123,0.0005618635177612305,0.5027,0.7143
128,"(64, 64)",blackwhite/full_image,0.50432,122.5074713230133,0.0005535869216918946,0.4981,0.7285
128,"(64, 64)",grayscale/string_image,0.50432,114.18512320518494,0.0005623320770263672,0.5085,0.7355
128,"(48, 64)",blackwhite/string_image,0.508,106.01210355758667,0.000569671630859375,0.5058,0.7261
128,"(48, 64)",color/string_image/not_smooth,0.508,113.64832425117493,0.000547809066772461,0.5176,0.7033
128,"(48, 64)",color/string_image/smooth,0.50432,121.99702596664429,0.0005576471328735352,0.5027,0.7126
128,"(48, 64)",color/full_image/not_smooth,0.508,113.91282153129578,0.0005350040435791015,0.5053,0.7054
128,"(48, 64)",color/full_image/smooth,0.508,109.25925540924072,0.000531099967956543,0.5226,0.7088
128,"(48, 64)",color/string_image/smooth,0.50432,100.6890013217926,0.000537814826965332,0.4898,0.7055
128,"(48, 64)",grayscale/full_image,0.50432,101.23751378059387,0.0005346917343139649,0.4950,0.7219
128,"(48, 64)",blackwhite/full_image,0.50432,110.10154294967651,0.0005364093017578125,0.5054,0.7231
128,"(48, 64)",grayscale/string_image,0.50432,109.99320650100708,0.0005615512084960937,0.5291,0.7179
128,"(128, 64)",blackwhite/string_image,0.508,110.4968204498291,0.0005365657806396484,0.5082,0.7298
128,"(128, 64)",color/string_image/not_smooth,0.508,167.00524854660034,0.0005562417984008789,0.5109,0.7024
128,"(128, 64)",color/string_image/smooth,0.50432,135.0061240196228,0.0005534309005737304,0.5133,0.7018
128,"(128, 64)",color/full_image/not_smooth,0.508,110.68516135215759,0.0006035580825805664,0.5226,0.6937
128,"(128, 64)",color/full_image/smooth,0.4936,111.51088738441467,0.0005615511322021484,0.5174,0.7252
128,"(128, 64)",color/string_image/smooth,0.50432,135.56537246704102,0.0005475011825561523,0.5149,0.7008
128,"(128, 64)",grayscale/full_image,0.50432,112.30925345420837,0.0006069935607910156,0.5008,0.7117
128,"(128, 64)",blackwhite/full_image,0.50432,113.20034122467041,0.0005718578338623047,0.5040,0.7298
128,"(128, 64)",grayscale/string_image,0.50432,120.56328058242798,0.0005712331390380859,0.5058,0.7199
